source_id,config,subfield_id,d,p_doc
S101267242,W0_2021_2024,1202,2,0.0541
S101267242,W0_2021_2024,1406,1,0.027
S101267242,W0_2021_2024,3312,27,0.7297
S101267242,W0_2021_2024,3316,1,0.027
S101267242,W0_2021_2024,3320,3,0.0811
S101267242,W0_2021_2024,3321,3,0.0811
S101267242,W+1_2022_2025,1202,3,0.075
S101267242,W+1_2022_2025,1208,1,0.025
S101267242,W+1_2022_2025,1406,1,0.025
S101267242,W+1_2022_2025,2307,1,0.025
S101267242,W+1_2022_2025,3312,26,0.65
S101267242,W+1_2022_2025,3316,1,0.025
S101267242,W+1_2022_2025,3317,1,0.025
S101267242,W+1_2022_2025,3320,5,0.125
S101267242,W+1_2022_2025,3321,1,0.025
S102059668,W0_2021_2024,1100,4,0.0154
S102059668,W0_2021_2024,1202,1,0.0039
S102059668,W0_2021_2024,1203,1,0.0039
S102059668,W0_2021_2024,1208,1,0.0039
S102059668,W0_2021_2024,1213,3,0.0116
S102059668,W0_2021_2024,1709,2,0.0077
S102059668,W0_2021_2024,1802,1,0.0039
S102059668,W0_2021_2024,2002,1,0.0039
S102059668,W0_2021_2024,2306,1,0.0039
S102059668,W0_2021_2024,2307,10,0.0386
S102059668,W0_2021_2024,2308,10,0.0386
S102059668,W0_2021_2024,2739,1,0.0039
S102059668,W0_2021_2024,3203,14,0.0541
S102059668,W0_2021_2024,3207,2,0.0077
S102059668,W0_2021_2024,3300,2,0.0077
S102059668,W0_2021_2024,3304,21,0.0811
S102059668,W0_2021_2024,3305,6,0.0232
S102059668,W0_2021_2024,3310,1,0.0039
S102059668,W0_2021_2024,3311,11,0.0425
S102059668,W0_2021_2024,3312,130,0.5019
S102059668,W0_2021_2024,3313,18,0.0695
S102059668,W0_2021_2024,3314,1,0.0039
S102059668,W0_2021_2024,3316,1,0.0039
S102059668,W0_2021_2024,3317,3,0.0116
S102059668,W0_2021_2024,3318,2,0.0077
S102059668,W0_2021_2024,3320,3,0.0116
S102059668,W0_2021_2024,3322,1,0.0039
S102059668,W0_2021_2024,3600,3,0.0116
S102059668,W0_2021_2024,3611,1,0.0039
S102059668,W0_2021_2024,3612,1,0.0039
S102059668,W0_2021_2024,3616,2,0.0077
S102059668,W+1_2022_2025,1100,3,0.012
S102059668,W+1_2022_2025,1202,1,0.004
S102059668,W+1_2022_2025,1203,1,0.004
S102059668,W+1_2022_2025,1208,1,0.004
S102059668,W+1_2022_2025,1209,1,0.004
S102059668,W+1_2022_2025,1213,2,0.008
S102059668,W+1_2022_2025,1709,3,0.012
S102059668,W+1_2022_2025,1802,1,0.004
S102059668,W+1_2022_2025,2002,1,0.004
S102059668,W+1_2022_2025,2214,1,0.004
S102059668,W+1_2022_2025,2306,1,0.004
S102059668,W+1_2022_2025,2307,8,0.0319
S102059668,W+1_2022_2025,2308,8,0.0319
S102059668,W+1_2022_2025,2739,2,0.008
S102059668,W+1_2022_2025,3203,10,0.0398
S102059668,W+1_2022_2025,3207,4,0.0159
S102059668,W+1_2022_2025,3300,1,0.004
S102059668,W+1_2022_2025,3304,21,0.0837
S102059668,W+1_2022_2025,3305,8,0.0319
S102059668,W+1_2022_2025,3307,1,0.004
S102059668,W+1_2022_2025,3311,8,0.0319
S102059668,W+1_2022_2025,3312,125,0.498
S102059668,W+1_2022_2025,3313,17,0.0677
S102059668,W+1_2022_2025,3314,1,0.004
S102059668,W+1_2022_2025,3316,2,0.008
S102059668,W+1_2022_2025,3317,1,0.004
S102059668,W+1_2022_2025,3318,2,0.008
S102059668,W+1_2022_2025,3320,2,0.008
S102059668,W+1_2022_2025,3322,4,0.0159
S102059668,W+1_2022_2025,3600,7,0.0279
S102059668,W+1_2022_2025,3612,2,0.008
S102059668,W+1_2022_2025,3616,1,0.004
S102320310,W0_2021_2024,1211,1,0.0084
S102320310,W0_2021_2024,1405,1,0.0084
S102320310,W0_2021_2024,1406,5,0.042
S102320310,W0_2021_2024,1407,1,0.0084
S102320310,W0_2021_2024,1408,3,0.0252
S102320310,W0_2021_2024,1702,7,0.0588
S102320310,W0_2021_2024,1706,4,0.0336
S102320310,W0_2021_2024,1707,1,0.0084
S102320310,W0_2021_2024,1710,13,0.1092
S102320310,W0_2021_2024,1802,4,0.0336
S102320310,W0_2021_2024,1803,1,0.0084
S102320310,W0_2021_2024,2002,1,0.0084
S102320310,W0_2021_2024,2718,3,0.0252
S102320310,W0_2021_2024,2739,3,0.0252
S102320310,W0_2021_2024,2805,1,0.0084
S102320310,W0_2021_2024,3202,1,0.0084
S102320310,W0_2021_2024,3203,1,0.0084
S102320310,W0_2021_2024,3207,1,0.0084
S102320310,W0_2021_2024,3304,3,0.0252
S102320310,W0_2021_2024,3311,16,0.1345
S102320310,W0_2021_2024,3312,34,0.2857
