subfield,entries,exits,net,flips
1100,1,0,1,1
1105,0,2,-2,2
1110,2,0,2,2
1202,4,2,2,6
1203,0,1,-1,1
1204,0,1,-1,1
1207,0,1,-1,1
1208,4,2,2,6
1211,4,4,0,8
1213,0,1,-1,1
1306,0,2,-2,2
1311,1,0,1,1
1312,4,1,3,5
1405,0,1,-1,1
1407,0,1,-1,1
1702,1,0,1,1
1703,2,3,-1,5
1705,1,0,1,1
1710,0,1,-1,1
2000,1,1,0,2
2002,3,4,-1,7
2003,1,1,0,2
2202,0,3,-3,3
2206,0,2,-2,2
2208,1,0,1,1
2212,1,0,1,1
2308,1,0,1,1
2309,2,0,2,2
2403,2,0,2,2
2602,1,0,1,1
2608,2,3,-1,5
2610,2,1,1,3
2611,1,1,0,2
2612,1,0,1,1
2613,0,1,-1,1
2705,2,0,2,2
2725,1,1,0,2
2730,1,1,0,2
2735,0,1,-1,1
2737,1,1,0,2
2739,2,3,-1,5
2740,0,1,-1,1
2743,1,0,1,1
2804,0,1,-1,1
2805,2,0,2,2
3107,0,2,-2,2
3203,2,1,1,3
3207,6,3,3,9
3303,0,1,-1,1
3304,10,3,7,13
3305,3,0,3,3
3306,3,3,0,6
3308,4,0,4,4
3311,0,1,-1,1
3312,3,1,2,4
3314,3,1,2,4
3315,2,2,0,4
3316,4,2,2,6
3317,3,1,2,4
3318,5,4,1,9
3320,16,9,7,25
3322,0,6,-6,6
3600,5,8,-3,13
