source_id,jaccard,turnover,jsd,nucleo_W0,nucleo_W1,n0,n1
S101267242,1.0,0.0,0.055110241380833896,3312,3312,1,1
S102059668,0.5,0.5,0.023393018475006452,3312,3304|3312,1,2
S102320310,0.75,0.25,0.05328181685558138,1710|3311|3312,1710|3311|3312|3315,3,4
S103448410,1.0,0.0,0.024636551904448592,3312|3320,3312|3320,2,2
S105091050,0.25,0.75,0.07510540441653668,1208|3312,1202|1211|3312,2,3
S105812952,1.0,0.0,0.035303644238299584,2002|3312,2002|3312,2,2
S10591207,1.0,0.0,0.04603073110097604,3312|3320,3312|3320,2,2
S10599296,1.0,0.0,0.020131000932234373,3106,3106,1,1
S107313304,1.0,0.0,0.03375598369692924,3312,3312,1,1
S108587369,1.0,0.0,0.00680872001690082,3312,3312,1,1
S108741841,1.0,0.0,0.0367544615345616,3312,3312,1,1
S10875568,1.0,0.0,0.015245574869638512,3312|3320,3312|3320,2,2
S109658313,1.0,0.0,0.05899722311186553,3312,3312,1,1
S110151151,0.5,0.5,0.026991199364774163,3304|3312|3318,3304|3312|3314,3,3
S110891900,1.0,0.0,0.036034566214157376,3312|3320,3312|3320,2,2
S111364325,0.5,0.5,0.06336145402552208,3312|3320,3312,2,1
S112282628,1.0,0.0,0.017790144983403734,3106,3106,1,1
S112424246,1.0,0.0,0.055226368782488724,3312|3320,3312|3320,2,2
S112444171,0.5,0.5,0.05840729662609408,3312,1202|3312,1,2
S112540174,1.0,0.0,0.013307837484035853,1311|1312,1311|1312,2,2
S112879492,0.5,0.5,0.02639506797097163,3312|3320,3312,2,1
S113036218,1.0,0.0,0.008206149011657352,2604|2611,2604|2611,2,2
S113116626,1.0,0.0,0.013595166529714021,3312|3318,3312|3318,2,2
S113184965,1.0,0.0,0.015223859795049852,3203|3312,3203|3312,2,2
S113281486,1.0,0.0,0.019481370460495917,3312|3320,3312|3320,2,2
S113416816,0.75,0.25,0.02770895174255639,2604|2610|3109,2604|2610|2611|3109,3,4
S113566553,1.0,0.0,0.017438851953225927,2604|2610,2604|2610,2,2
S114339905,0.6666666666666666,0.33333333333333337,0.030606001814497834,3207|3312,2805|3207|3312,2,3
S114448247,1.0,0.0,0.012838580193476976,3312|3320|3321,3312|3320|3321,3,3
S114567169,1.0,0.0,0.023043553471703213,3312|3318,3312|3318,2,2
S115207144,0.6666666666666666,0.33333333333333337,0.027147614792058336,2608|2610|3109,2610|3109,3,2
S115516119,1.0,0.0,0.04235685155988624,1110|1311|1312,1110|1311|1312,3,3
S118419795,1.0,0.0,0.0549159987289687,3312|3320,3312|3320,2,2
S119250532,0.6666666666666666,0.33333333333333337,0.007438300776030431,1306|1311|1312|2730|2740,1306|1311|1312|2403|2740,5,5
S120226629,0.3333333333333333,0.6666666666666667,0.038112725979975184,2003|3312,3312|3320,2,2
S120820016,1.0,0.0,0.007966874684930386,3312,3312,1,1
S120959427,1.0,0.0,0.06338672010556676,3316,3316,1,1
S12146737,0.5,0.5,0.014908507805518757,1311,1311|1312,1,2
S121703463,1.0,0.0,0.009552888101127706,1311|1312,1311|1312,2,2
S12175909,1.0,0.0,0.019541753745420616,3312|3320,3312|3320,2,2
S12205661,1.0,0.0,0.026606193323833065,3318,3318,1,1
S122378449,1.0,0.0,0.01192463597775429,3312|3320,3312|3320,2,2
S122471516,1.0,0.0,0.022115275882466125,3312|3320,3312|3320,2,2
S122892125,1.0,0.0,0.03647283863811998,3312|3320,3312|3320,2,2
S123043354,1.0,0.0,0.03175506178432318,3312|3320,3312|3320,2,2
S123665906,1.0,0.0,0.03250176836335384,3106,3106,1,1
S125685628,1.0,0.0,0.02119563350473945,2505|3106,2505|3106,2,2
S126647188,1.0,0.0,0.018812376888718903,3312,3312,1,1
S127589907,1.0,0.0,0.03226662461382084,3312,3312,1,1
S129389861,1.0,0.0,0.02270232181712016,3312|3320,3312|3320,2,2
S129511265,0.5,0.5,0.009494353866646614,2602|2604|2608,2602|2604|2610,3,3
S129906632,0.2857142857142857,0.7142857142857143,0.1235908562465054,2202|3312|3315|3320,1208|3304|3312|3318|3320,4,5
S130611943,1.0,0.0,0.01905649463980947,3312|3320,3312|3320,2,2
S13068289,1.0,0.0,0.021661604924538412,3312,3312,1,1
S131679521,1.0,0.0,0.05201154960712234,3312,3312,1,1
S131700781,0.5,0.5,0.04815964424590417,1311|1312|2740,1311|1312|2403,3,3
S132495599,1.0,0.0,0.03140563552922937,3312,3312,1,1
S132665167,1.0,0.0,0.013553163462211831,3312,3312,1,1
S133648787,1.0,0.0,0.01482566220260965,3312|3320,3312|3320,2,2
S133992056,1.0,0.0,0.012971744517958026,3106,3106,1,1
S134425043,1.0,0.0,0.014455289103775151,1311|1312,1311|1312,2,2
S134651815,1.0,0.0,0.018586099346388135,3106,3106,1,1
S134776053,1.0,0.0,0.02598423258023203,3312|3320,3312|3320,2,2
S134986326,1.0,0.0,0.03956815082508205,3312,3312,1,1
S135066301,1.0,0.0,0.01928152128823295,2608|3106|3109,2608|3106|3109,3,3
S135297974,1.0,0.0,0.046425793950869,3312|3320,3312|3320,2,2
S135892541,1.0,0.0,0.021424565534039857,3312|3320,3312|3320,2,2
S138240904,1.0,0.0,0.005328240603630336,2604,2604,1,1
