journal_id,S,n_year_pairs,eligible,status
S101267242,0.7966610249114068,1,true,ok
S102059668,0.8562330959899038,3,true,ok
S102320310,0.7409019107514565,3,true,ok
S103448410,0.8003470597991577,3,true,ok
S105091050,0.709691093824828,3,true,ok
S105812952,0.7501527430389147,3,true,ok
S10591207,0.7144770875858153,3,true,ok
S10599296,0.8892766944624669,3,true,ok
S107313304,0.8044169809916429,3,true,ok
S108587369,0.7554809660879706,1,true,ok
S108741841,0.7465055841776969,3,true,ok
S10875568,0.8559148141925015,3,true,ok
S109658313,0.7384321971090753,3,true,ok
S110151151,0.6842384422942518,3,true,ok
S110891900,0.7385591937581943,3,true,ok
S111364325,0.7313149294187914,3,true,ok
S112282628,0.8975581322730998,3,true,ok
S112424246,0.7352026701518306,2,true,ok
S112444171,0.7109781224941916,3,true,ok
S112540174,0.8866218816096795,3,true,ok
S112879492,0.738454396144623,3,true,ok
S113036218,0.9286159090533982,3,true,ok
S113116626,0.7605164034657863,3,true,ok
S113184965,0.882617018003596,3,true,ok
S113281486,0.84558349772632,3,true,ok
S113416816,0.781849763594393,3,true,ok
S113566553,0.8098811617971985,3,true,ok
S114339905,0.7911640010057917,3,true,ok
S114448247,0.8709705766317148,3,true,ok
S114567169,0.7960796852211196,3,true,ok
S115207144,0.7994261513048828,3,true,ok
S115516119,0.7217848485997744,3,true,ok
S118419795,0.7259381987375941,3,true,ok
S119250532,0.9004798852691867,3,true,ok
S120226629,0.802122272593661,3,true,ok
S120820016,0.8778032528133782,3,true,ok
S120959427,0.8623874661944416,3,true,ok
S12146737,0.8715379465745013,3,true,ok
S121703463,0.9035554052740409,3,true,ok
S12175909,0.7779867821382113,3,true,ok
S12205661,0.8781103241954074,3,true,ok
S122378449,0.8654088053525834,3,true,ok
S122471516,0.7943018195500688,3,true,ok
S122892125,0.7889834134274221,3,true,ok
S123043354,0.7418670997596872,3,true,ok
S123665906,0.8160688035450255,3,true,ok
S125685628,0.6217486270042227,3,true,ok
S126647188,0.7048571612100292,3,true,ok
S127589907,0.8434236707326787,3,true,ok
S129389861,0.8693870796176513,3,true,ok
S129511265,0.9303127538451049,3,true,ok
S129906632,0.6775713777681904,3,true,ok
S130611943,0.8594674538565855,3,true,ok
S13068289,0.915836797695262,3,true,ok
S131679521,0.750162465530062,3,true,ok
